epoch,accuracy,loss,val_accuracy,val_loss
9,0.8801801204681396,0.34890732169151306,0.9076922535896301,0.23448854684829712
10,0.9702702164649963,0.09023503959178925,0.9641025066375732,0.11757656931877136
11,0.9891891479492188,0.03978996351361275,0.958974301815033,0.14136052131652832
12,0.9936936497688293,0.028223281726241112,0.9692307114601135,0.09319280087947845
13,0.9981981515884399,0.014750586822628975,0.9692307114601135,0.09509633481502533
14,0.9981981515884399,0.010737304575741291,0.9487178921699524,0.13130328059196472
15,0.9963963627815247,0.015023773536086082,0.9333332777023315,0.14813897013664246
16,0.9963963627815247,0.013638410717248917,0.9538460969924927,0.1411425620317459
17,0.9963963627815247,0.011971957050263882,0.9794871211051941,0.08297362923622131
18,0.9999999403953552,0.0031209064181894064,0.9794871211051941,0.07647082209587097
19,0.9999999403953552,0.0020186121109873056,0.9743589162826538,0.07286186516284943
