epoch,accuracy,loss,val_accuracy,val_loss
0,0.4999999701976776,1.1264523267745972,0.687179446220398,0.6952759027481079
1,0.7117117047309875,0.6846488118171692,0.8410255908966064,0.4624054431915283
2,0.7792792320251465,0.5387234091758728,0.8615384101867676,0.4082385003566742
3,0.8342341780662537,0.4305945038795471,0.8974358439445496,0.32804766297340393
4,0.8531531095504761,0.38780730962753296,0.9025640487670898,0.30499163269996643
5,0.8630630373954773,0.35168930888175964,0.8974358439445496,0.3001989424228668
6,0.8738738298416138,0.4036429226398468,0.8974358439445496,0.2841435372829437
7,0.8918918371200562,0.3176496624946594,0.9076922535896301,0.2759079039096832
8,0.8972972631454468,0.2868911325931549,0.9076922535896301,0.2628369629383087
9,0.9171170592308044,0.25781679153442383,0.9076922535896301,0.26147136092185974
