epoch,accuracy,loss,val_accuracy,val_loss
9,0.9117116928100586,0.22821998596191406,0.9128204584121704,0.24132415652275085
10,0.9567567110061646,0.13283926248550415,0.9435896873474121,0.14925557374954224
11,0.976576566696167,0.08635330200195312,0.9641025066375732,0.13336339592933655
12,0.9801801443099976,0.0739855244755745,0.958974301815033,0.15518587827682495
13,0.9783783555030823,0.07647848129272461,0.923076868057251,0.22193138301372528
14,0.990990936756134,0.05405983328819275,0.9538460969924927,0.11584033817052841
15,0.9963963627815247,0.03862394392490387,0.958974301815033,0.1075143963098526
16,0.99909907579422,0.027771594002842903,0.9692307114601135,0.10094163566827774
17,0.9981981515884399,0.02202535979449749,0.9692307114601135,0.11153776198625565
18,0.9999999403953552,0.017747912555933,0.9692307114601135,0.10654974728822708
19,0.9999999403953552,0.01540787797421217,0.9692307114601135,0.10104423016309738
