epoch,accuracy,loss,val_accuracy,val_loss
0,0.4675675630569458,1.2514960765838623,0.7128204703330994,0.7239267826080322
1,0.0,0.0,0.8307691812515259,0.5009734630584717
2,0.7810810208320618,0.5236121416091919,0.8615384101867676,0.4301280677318573
3,0.8198198080062866,0.47767436504364014,0.8769230246543884,0.3751569986343384
4,0.8477477431297302,0.3915020525455475,0.887179434299469,0.3432301878929138
5,0.8666666150093079,0.3669586777687073,0.887179434299469,0.3255835175514221
6,0.8909909725189209,0.3128509521484375,0.9025640487670898,0.31226682662963867
7,0.9144144058227539,0.26096877455711365,0.9179486632347107,0.27409934997558594
8,0.9099098443984985,0.25595036149024963,0.9025640487670898,0.2586750090122223
9,0.9279279112815857,0.22396457195281982,0.9128204584121704,0.24336428940296173
