epoch,accuracy,loss,val_accuracy,val_loss
0,0.5855855345726013,0.917248547077179,0.7128204703330994,0.758586585521698
1,0.7954954504966736,0.648700475692749,0.8307691812515259,0.565262496471405
2,0.8423423171043396,0.5274291634559631,0.8307691812515259,0.46932119131088257
3,0.8666666150093079,0.4615618586540222,0.8307691812515259,0.44680583477020264
4,0.875675618648529,0.4117192029953003,0.851282000541687,0.38277631998062134
5,0.8927927613258362,0.36804819107055664,0.8820512294769287,0.3331104516983032
6,0.9036035537719727,0.35059332847595215,0.9025640487670898,0.3051973283290863
7,0.921621561050415,0.3153061270713806,0.9076922535896301,0.2877834737300873
8,0.9153152704238892,0.30327489972114563,0.8717948198318481,0.29109013080596924
9,0.9342342019081116,0.2728261649608612,0.9179486632347107,0.25418218970298767
