epoch,accuracy,loss,val_accuracy,val_loss
9,0.9207206964492798,0.2515747547149658,0.9179486632347107,0.19284585118293762
10,0.9495494961738586,0.1584765613079071,0.9435896873474121,0.1472267359495163
11,0.967567503452301,0.12254875898361206,0.9487178921699524,0.13305534422397614
12,0.9729729294776917,0.1004410907626152,0.9538460969924927,0.13002237677574158
13,0.9720720052719116,0.09189600497484207,0.9384614825248718,0.13458949327468872
14,0.9720720052719116,0.08738686889410019,0.9487178921699524,0.11287101358175278
15,0.9855855703353882,0.06980900466442108,0.9333332777023315,0.16885656118392944
16,0.9738738536834717,0.0824439749121666,0.9692307114601135,0.06918005645275116
17,0.9855855703353882,0.057953737676143646,0.9487178921699524,0.13426323235034943
18,0.9774774312973022,0.06486672908067703,0.958974301815033,0.11821017414331436
19,0.9783783555030823,0.06639382988214493,0.9333332777023315,0.16125062108039856
