epoch,accuracy,loss,val_accuracy,val_loss
0,0.3657657504081726,1.1045435667037964,0.3282051086425781,1.0877324342727661
1,0.39729729294776917,1.0825600624084473,0.4871794581413269,1.0740153789520264
2,0.4441441297531128,1.064916729927063,0.5384615063667297,1.0626444816589355
3,0.4927927851676941,1.0521914958953857,0.4564102292060852,1.0535908937454224
4,0.5567567348480225,1.0379223823547363,0.5589743256568909,1.0404735803604126
5,0.5495495200157166,1.0269969701766968,0.54358971118927,1.029030680656433
6,0.5801801681518555,1.0152391195297241,0.5384615063667297,1.0197522640228271
7,0.5801801681518555,1.004237174987793,0.6461538076400757,1.0078928470611572
8,0.5981981754302979,0.9932857751846313,0.54358971118927,1.0010384321212769
9,0.5774774551391602,0.988248348236084,0.5846153497695923,0.989203691482544
