epoch,accuracy,loss,val_accuracy,val_loss
9,0.9135134816169739,0.26110905408859253,0.9076922535896301,0.2398809790611267
10,0.9432432055473328,0.19046711921691895,0.8974358439445496,0.23217907547950745
11,0.952252209186554,0.15877917408943176,0.9282050728797913,0.19722457230091095
12,0.952252209186554,0.1480593979358673,0.9282050728797913,0.2119169682264328
13,0.945044994354248,0.16072556376457214,0.8820512294769287,0.2622841000556946
14,0.9585584998130798,0.12900125980377197,0.923076868057251,0.20061296224594116
15,0.953153133392334,0.13626627624034882,0.9179486632347107,0.2179052233695984
16,0.9666666388511658,0.10338642448186874,0.9384614825248718,0.15752281248569489
17,0.9630630016326904,0.10381563752889633,0.9384614825248718,0.16749700903892517
18,0.9819819331169128,0.07588884979486465,0.8974358439445496,0.21464475989341736
19,0.9738738536834717,0.08122808486223221,0.9435896873474121,0.14813946187496185
