epoch,accuracy,loss,val_accuracy,val_loss
9,0.9315314888954163,0.22319303452968597,0.9692307114601135,0.11386382579803467
10,0.9630630016326904,0.1228659525513649,0.9743589162826538,0.08951153606176376
11,0.968468427658081,0.09583567827939987,0.9641025066375732,0.08247512578964233
12,0.9657657146453857,0.09685305505990982,0.9641025066375732,0.07937660068273544
13,0.9801801443099976,0.06957860291004181,0.9743589162826538,0.07913462817668915
14,0.9810810685157776,0.05859636515378952,0.9743589162826538,0.06950127333402634
15,0.9810810685157776,0.053973402827978134,0.9641025066375732,0.0639955997467041
16,0.9882882237434387,0.04833747819066048,0.9846153259277344,0.0516662672162056
17,0.990990936756134,0.03873137757182121,0.9692307114601135,0.0573943555355072
18,0.9828828573226929,0.04983298480510712,0.9743589162826538,0.05358721688389778
19,0.9873873591423035,0.04108484461903572,0.9692307114601135,0.06247147545218468
