epoch,accuracy,loss,val_accuracy,val_loss
0,0.5378378033638,0.9532419443130493,0.779487133026123,0.6400922536849976
1,0.7657657265663147,0.6226755976676941,0.8410255908966064,0.4604555666446686
2,0.8540540337562561,0.4704093635082245,0.8820512294769287,0.3948463499546051
3,0.8711711168289185,0.4076608717441559,0.8769230246543884,0.34540310502052307
4,0.8936936855316162,0.3666800260543823,0.887179434299469,0.3280256688594818
5,0.8918918371200562,0.34534597396850586,0.887179434299469,0.3241775631904602
6,0.8963963389396667,0.3131135404109955,0.8820512294769287,0.3044704794883728
7,0.9027026891708374,0.2810839116573334,0.887179434299469,0.2849079966545105
8,0.9153152704238892,0.2663112282752991,0.9076922535896301,0.26138344407081604
9,0.9369369149208069,0.24475935101509094,0.887179434299469,0.2838810980319977
